,Z0,Z1,Z2,Z3,Z4,Z5,Z6,Z7
Z0,0.0,11572.6,8767.9,10882.5,7837.3,7327.7,7295.5,8009.9
Z1,11572.6,0.0,12182.5,15232.0,19370.1,8789.7,16173.4,5172.1
Z2,8767.9,12182.5,0.0,19276.0,14043.2,14060.9,16022.1,7076.3
Z3,10882.5,15232.0,19276.0,0.0,13091.3,6560.3,5936.5,15360.6
Z4,7837.3,19370.1,14043.2,13091.3,0.0,13336.8,7163.2,15712.0
Z5,7327.7,8789.7,14060.9,6560.3,13336.8,0.0,8044.4,9016.9
Z6,7295.5,16173.4,16022.1,5936.5,7163.2,8044.4,0.0,14319.9
Z7,8009.9,5172.1,7076.3,15360.6,15712.0,9016.9,14319.9,0.0
