,Z0,Z1,Z2,Z3,Z4,Z5,Z6,Z7
Z0,0.0,16515.8,5932.1,8053.9,11261.2,14676.3,15598.7,9754.8
Z1,16515.8,0.0,13517.5,11062.5,10200.3,11777.1,6106.4,6769.5
Z2,5932.1,13517.5,0.0,9686.2,5635.7,16222.5,14871.9,7349.7
Z3,8053.9,11062.5,9686.2,0.0,11823.4,6789.1,8044.8,5950.0
Z4,11261.2,10200.3,5635.7,11823.4,0.0,17088.1,13768.1,6625.9
Z5,14676.3,11777.1,16222.5,6789.1,17088.1,0.0,5896.9,10465.9
Z6,15598.7,6106.4,14871.9,8044.8,13768.1,5896.9,0.0,7667.6
Z7,9754.8,6769.5,7349.7,5950.0,6625.9,10465.9,7667.6,0.0
