,Z0,Z1,Z2,Z3,Z4,Z5,Z6,Z7
Z0,0.0,11016.9,10778.8,8265.1,7591.6,8681.2,6241.7,6448.1
Z1,11016.9,0.0,11986.2,15473.4,18608.3,5261.9,7198.8,14285.3
Z2,10778.8,11986.2,0.0,19004.5,15409.2,6762.2,13751.8,7172.5
Z3,8265.1,15473.4,19004.5,0.0,9618.7,15585.6,8277.9,14128.3
Z4,7591.6,18608.3,15409.2,9618.7,0.0,15781.2,13106.1,8379.3
Z5,8681.2,5261.9,6762.2,15585.6,15781.2,0.0,8361.4,9769.0
Z6,6241.7,7198.8,13751.8,8277.9,13106.1,8361.4,0.0,12093.7
Z7,6448.1,14285.3,7172.5,14128.3,8379.3,9769.0,12093.7,0.0
