,Z0,Z1,Z2,Z3,Z4,Z5,Z6,Z7
Z0,0.0,14717.1,17590.9,22354.0,6749.9,11474.1,10739.2,20820.8
Z1,14717.1,0.0,14296.6,12356.3,8145.3,17724.7,8459.1,6137.9
Z2,17590.9,14296.6,0.0,8523.5,15528.5,10052.8,7972.1,16340.4
Z3,22354.0,12356.3,8523.5,0.0,17800.9,17990.9,11652.9,10891.9
Z4,6749.9,8145.3,15528.5,17800.9,0.0,13708.1,7558.1,14282.9
Z5,11474.1,17724.7,10052.8,17990.9,13708.1,0.0,9352.5,22347.5
Z6,10739.2,8459.1,7972.1,11652.9,7558.1,9352.5,0.0,13090.7
Z7,20820.8,6137.9,16340.4,10891.9,14282.9,22347.5,13090.7,0.0
