rank,bits,int,k_selected,stations,energy,objective,penalty,feasible
77,00111101,61,5,Z0|Z2|Z3|Z4|Z5,-104.034862,54.034862,40.0,False
78,01000110,70,3,Z1|Z2|Z6,-103.994808,13.994808,0.0,True
79,10100111,167,5,Z0|Z1|Z2|Z5|Z7,-103.993397,53.993397,40.0,False
80,01010111,87,5,Z0|Z1|Z2|Z4|Z6,-103.955106,53.955106,40.0,False
81,10001100,140,3,Z2|Z3|Z7,-103.918367,13.918367,0.0,True
82,00100110,38,3,Z1|Z2|Z5,-103.881334,13.881334,0.0,True
83,10011101,157,5,Z0|Z2|Z3|Z4|Z7,-103.878665,53.878665,40.0,False
84,00110111,55,5,Z0|Z1|Z2|Z4|Z5,-103.841632,53.841632,40.0,False
85,00011100,28,3,Z2|Z3|Z4,-103.766602,13.766602,0.0,True
86,10000110,134,3,Z1|Z2|Z7,-103.725137,13.725137,0.0,True
87,10010111,151,5,Z0|Z1|Z2|Z4|Z7,-103.685435,53.685435,40.0,False
88,00010110,22,3,Z1|Z2|Z4,-103.573372,13.573372,0.0,True
89,01101011,107,5,Z0|Z1|Z3|Z5|Z6,-103.467128,53.467128,40.0,False
90,11001011,203,5,Z0|Z1|Z3|Z6|Z7,-103.310931,53.310931,40.0,False
91,01001010,74,3,Z1|Z3|Z6,-103.198868,13.198868,0.0,True
92,10101011,171,5,Z0|Z1|Z3|Z5|Z7,-103.197457,53.197457,40.0,False
93,01011011,91,5,Z0|Z1|Z3|Z4|Z6,-103.159166,53.159166,40.0,False
94,00101010,42,3,Z1|Z3|Z5,-103.085394,13.085394,0.0,True
95,00111011,59,5,Z0|Z1|Z3|Z4|Z5,-103.045692,53.045692,40.0,False
96,10001010,138,3,Z1|Z3|Z7,-102.929197,12.929197,0.0,True
97,10011011,155,5,Z0|Z1|Z3|Z4|Z7,-102.889495,52.889495,40.0,False
98,00011010,26,3,Z1|Z3|Z4,-102.777432,12.777432,0.0,True
99,11100101,229,5,Z0|Z2|Z5|Z6|Z7,-101.144821,51.144821,40.0,False
100,01100100,100,3,Z2|Z5|Z6,-101.032758,11.032758,0.0,True
101,01110101,117,5,Z0|Z2|Z4|Z5|Z6,-100.993056,50.993056,40.0,False
102,11000100,196,3,Z2|Z6|Z7,-100.876561,10.876561,0.0,True
103,11010101,213,5,Z0|Z2|Z4|Z6|Z7,-100.836859,50.836859,40.0,False
104,10100100,164,3,Z2|Z5|Z7,-100.763087,10.763087,0.0,True
105,01010100,84,3,Z2|Z4|Z6,-100.724796,10.724796,0.0,True
106,10110101,181,5,Z0|Z2|Z4|Z5|Z7,-100.723384,50.723384,40.0,False
107,00110100,52,3,Z2|Z4|Z5,-100.611322,10.611322,0.0,True
108,10010100,148,3,Z2|Z4|Z7,-100.455125,10.455125,0.0,True
109,11101001,233,5,Z0|Z3|Z5|Z6|Z7,-100.348881,50.348881,40.0,False
110,01101000,104,3,Z3|Z5|Z6,-100.236818,10.236818,0.0,True
111,01111001,121,5,Z0|Z3|Z4|Z5|Z6,-100.197116,50.197116,40.0,False
112,11100011,227,5,Z0|Z1|Z5|Z6|Z7,-100.155651,50.155651,40.0,False
113,11001000,200,3,Z3|Z6|Z7,-100.080621,10.080621,0.0,True
114,01100010,98,3,Z1|Z5|Z6,-100.043588,10.043588,0.0,True
115,11011001,217,5,Z0|Z3|Z4|Z6|Z7,-100.040919,50.040919,40.0,False
116,01110011,115,5,Z0|Z1|Z4|Z5|Z6,-100.003886,50.003886,40.0,False
117,10101000,168,3,Z3|Z5|Z7,-99.967147,9.967147,0.0,True
118,01011000,88,3,Z3|Z4|Z6,-99.928856,9.928856,0.0,True
