zone,Z0,Z1,Z2,Z3,Z4,Z5,Z6,Z7
Z0,-87.945572,20.000000,20.000000,20.000000,20.000000,20.000000,20.000000,20.000000
Z1,0.000000,-55.284738,20.000000,20.000000,20.000000,20.000000,20.000000,20.000000
Z2,0.000000,0.000000,-56.273908,20.000000,20.000000,20.000000,20.000000,20.000000
Z3,0.000000,0.000000,0.000000,-55.477968,20.000000,20.000000,20.000000,20.000000
Z4,0.000000,0.000000,0.000000,0.000000,-52.014726,20.000000,20.000000,20.000000
Z5,0.000000,0.000000,0.000000,0.000000,0.000000,-52.322688,20.000000,20.000000
Z6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-52.436162,20.000000
Z7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-52.166491
